event_id,name,buyin_fee
36,Red River Muscle Club Stock Muscle,40
36,Robinson Restoration Services Street Muscle,40
36,Cowtown Mopars Performance Team King Muscle,40
36,TG Motorsports Competition Muscle,40
36,Men's Peak Performance Modified Muscle,40
36,SYK Rides Electronics,40
36,J&G's Welding Pro Muscle,40
36,Corvette Corner Super Pro Muscle,40
36,CA$H Bracket,40
36,EV Only - TBD,40
37,Red River Muscle Club Stock Muscle,40
37,Robinson Restoration Services Street Muscle,40
37,Cowtown Mopars Performance Team King Muscle,40
37,TG Motorsports Competition Muscle,40
37,Men's Peak Performance Modified Muscle,40
37,SYK Rides Electronics,40
37,J&G's Welding Pro Muscle,40
37,Corvette Corner Super Pro Muscle,40
37,CA$H Bracket,40
37,EV Only - TBD,40
38,Red River Muscle Club Stock Muscle,40
38,Robinson Restoration Services Street Muscle,40
38,Cowtown Mopars Performance Team King Muscle,40
38,TG Motorsports Competition Muscle,40
38,Men's Peak Performance Modified Muscle,40
38,SYK Rides Electronics,40
38,J&G's Welding Pro Muscle,40
38,Corvette Corner Super Pro Muscle,40
38,CA$H Bracket,40
38,EV Only - TBD,40
39,Red River Muscle Club Stock Muscle,40
39,Robinson Restoration Services Street Muscle,40
39,Cowtown Mopars Performance Team King Muscle,40
39,TG Motorsports Competition Muscle,40
39,Men's Peak Performance Modified Muscle,40
39,SYK Rides Electronics,40
39,J&G's Welding Pro Muscle,40
39,Corvette Corner Super Pro Muscle,40
39,CA$H Bracket,40
39,EV Only - TBD,40
40,Red River Muscle Club Stock Muscle,40
40,Robinson Restoration Services Street Muscle,40
40,Cowtown Mopars Performance Team King Muscle,40
40,TG Motorsports Competition Muscle,40
40,Men's Peak Performance Modified Muscle,40
40,SYK Rides Electronics,40
40,J&G's Welding Pro Muscle,40
40,Corvette Corner Super Pro Muscle,40
40,CA$H Bracket,40
40,EV Only - TBD,40